company-domain,companyDisplayname,companyName,Column1,Column2
quantis.ch,Quantis Informatik AG,quantis,1,1
,Raccoon Works,raccoon,0,1
,Raiffeisen Schweiz,raiffeisen,0,1
service.rba.ch,RBA Service,service,1,1
,re:thinc,rethinc,0,1
reberinformatik.ch,Reber Informatik GmbH,reberinformatik,1,1
redhat.com,Red Hat,redhat,1,1
redq.ch,redQ AG,redq,1,1
rfidnet.ch,RFIDnet,rfidnet,1,1
richardconsulting.ch,richard IT consulting,richardconsulting,1,1
rigertconsulting.ch,Rigert Consulting AG,rigertconsulting,1,1
,Ringier AG,ringier,0,1
rise-world.com,RISE CH,rise-world,1,1
,Rohde&Schwarz SwissQual AG,rohde&schwarz,0,1
rtc.ch,RTC,rtc,1,1
ruag.com,RUAG,ruag,1,1
rudolph-ag.ch,rudolph ag,rudolph-ag,1,1
ruf.ch,Ruf Informatik AG,ruf,1,1
,Rutgers University,rutgers,0,1
salvisberg.com,Salvisberg Software & Consulting,salvisberg,1,1
saxos.ch,SAXOS Informatik AG,saxos,1,1
sbb.ch,SBB,sbb,1,1
sbfi.admin.ch,SBFI,sbfi,1,1
sbiservices.ch,SBIServices GmbH,sbiservices,1,1
schaltstelle.ch,Schaltstelle,schaltstelle,1,1
,Schwarznet Consulting,schwarznet,0,1
,Schweizer Armee (Kdo Cyber),schweizer,0,1
slb.admin.ch,Schweizerische Landesbibliothek,slb,1,1
nb.admin.ch,Schweizerische Nationalbibliothek,nb,1,1
,Scigility,scigility,0,1
,scs,scs,0,1
sdm.ch,sd&m Schweiz AG,sdm,1,1
seco.admin.ch,SECO,seco,1,1
swiss-it.ch,secunet SwissIT AG,swiss-it,1,1
securiton.ch,Securiton AG,securiton,1,1
,Sicherheitsdirektion ,sicherheitsdirektion,0,1
,Silberrücken AG,silberrücken,0,1
simas.ch,simas GmbH,simas,1,1
,SimplexaCode AG,simplexacode,0,1
six-group.com,SIX Group Services AG,six-group,1,1
,SlowSoft GmbH,slowsoft,0,1
,Smart Energy Link,smart,0,1
smart-advice.ch,SMART-ADVICE GmbH,smart-advice,1,1
soberano.ch,Soberano-Sourcing GmbH,soberano,1,1
sofismo.ch,Sofismo AG,sofismo,1,1
softbee.ch,softbee GmbH,softbee,1,1
,Softcom ,softcom,0,1
softlab.ch,Softlab,softlab,1,1
softwareag.com,Software AG,softwareag,1,1
,Software Catering,softwarecatering,0,1
,Solution Foundry GmbH,solutionfoundry,0,1
solutiongarage.ch,solutiongarage GmbH,solutiongarage,1,1
soprasteria.com,Sopra Steria AG,soprasteria,1,1
sourcefactory.ch,sourcefactory,sourcefactory,1,1
,Sourcingpartner,sourcingpartner,0,1
sowos.ch,sowos ag,sowos,1,1
,Spiu,spiu,0,1
spoud.io,SPOUD,spoud,1,1
srgssr.ch,SRG SSR,srgssr,1,1
,Staatskanzlei des Kantons Bern,staatskanzlei,0,1
,Stadler,stadler,0,1
biel-bienne.ch,Stadt Biel,biel-bienne,1,1
,Steam-IT AG,steam-it,0,1
fin.be.ch,Steuerverwaltung des Kantons Bern,fin,1,1
,SUMEX,sumex,0,1
sun.com,Sun Microsystems,sun,1,1
realityoop.net,Supercomputing Systems AG,realityoop,1,1
suva.ch,Suva,suva,1,1
sw-eng.ch,Sw-eng,sw-eng,1,1
swatchgroup.com,Swatch Group Services,swatchgroup,1,1
scnat.ch,Swiss Academy of Sciences (SCNAT),scnat,1,1
,Swiss Life,swiss,0,1
,Swiss PostgreSQL Users Group,swiss,0,1
swisstxt.ch,Swiss TXT,swisstxt,1,1
swisscom.ch,Swisscom,swisscom,1,2
swisselect.ch,swisselect ag,swisselect,1,1
,Swissgrid AG,swissgrid,0,1
,swissinfo.ch,swissinfo.ch,0,1
,Swissmedic ,swissmedic,0,1
swissmoose.ch,swissmoose GmbH,swissmoose,1,1
swissphone.ch,Swissphone Wireless AG,swissphone,1,1
